x,y,z,best_yaw_ang,best_pitch_ang
-352.726,-279.581,2.10505,300,0
-347.877,-277.543,2.10885,330,0
-343.08,-275.571,2.11082,270,0
-338.163,-273.666,2.14713,270,0
-333.225,-272.031,2.14884,270,0
-328.105,-271.194,2.15299,240,0
-323.079,-271.709,2.18565,270,0
-318.628,-274.419,2.19563,240,0
-315.75,-278.728,2.23233,240,0
-313.821,-283.576,2.24299,240,0
-312.193,-288.311,2.2688,240,0
-310.52,-293.207,2.31109,210,0
-308.794,-298.03,2.42343,210,0
-307.021,-302.785,2.49686,180,0
-305.182,-307.623,2.64324,150,0
-303.299,-312.642,2.78693,150,0
-301.558,-317.337,2.81107,150,0
-299.671,-322.319,2.80167,240,0
-297.925,-327.346,2.80725,240,0
-296.186,-332.222,2.74346,240,0
-294.351,-337.21,2.59693,240,0
-292.538,-342.081,2.47036,180,0
-290.676,-346.891,2.38387,150,0
-288.853,-351.691,2.28338,150,0
-286.965,-356.509,2.25491,150,0
-285.085,-361.318,2.17211,150,0
-283.136,-366.056,2.11918,150,0
-280.978,-370.809,2.04997,240,0
-278.924,-375.399,1.99794,240,0
-276.905,-380.156,1.96106,240,0
-274.986,-384.953,1.92419,210,0
-273,-389.623,1.90387,180,0
-270.14,-393.811,1.86866,180,0
-265.07,-393.863,1.91718,60,0
-262.644,-389.398,1.90192,60,0
-263.955,-384.431,1.92768,60,0
-265.88,-379.762,1.96074,0,0
-267.597,-374.894,2.00616,330,0
-269.289,-369.952,2.09814,330,0
-270.987,-365.042,2.13945,60,0
-272.707,-359.974,2.20946,60,0
-274.282,-355.111,2.26324,60,0
-275.94,-350.225,2.31111,60,0
-277.393,-345.203,2.35918,30,0
-278.745,-340.225,2.42703,0,0
-280.119,-335.254,2.53725,330,0
-281.598,-330.265,2.72591,0,0
-283.121,-325.28,2.75742,330,0
-284.801,-320.487,2.81468,330,0
-286.471,-315.738,2.82089,60,0
-288.152,-310.759,2.77895,60,0
-289.784,-305.981,2.73163,30,0
